Cara Delevigne
Zhou Jieqiong
Monica Belluci
Alexis Ren
Kim Domingo
Sophie Charlotte
Kelly Gale
Chelsea Islan
Kiera Knightley
Mahlagha Jaberi
Jess Conte
Urvashi Rautela
Park Shin-Hye
Alexandra Daddario
Tina Kunakey
Evgenia Medvedeva
Niki Niwa
Marina Ruy Barbosa
Lola Le Lann
Shay Mitchell
Marija Zezelj
Nesreen Tafesh
Nadine Lustre
Kat Graham
Anastasia Bezrukova
Zhu Zhu
Katherine Langford
Alia Bhatt
Elçin Sanghu
Jessy Mendiola
Kate Beckinsale
Jessica Jung
Kiersey Clemons
Josie Lane
Praya Lundberg
Maite Perroni
Jasmine Tookes
Barbara Palvin
Go Ara
Vika Levina
Kathryn Bernardo
Gugu Mbata-Raw
Lily Collins
Yumi Wong
Selena Gomez
Bae Joo-hyun
Zara Larsson
Nargis Fakhri
Zoey Deutch
Bae Su-Ji
Natalie Portman
Lin Yun
Nathalie Emmanuel
Marion Cotillard
Lauren Tsai
Meika Woollard
Raisa Andriana
Hanane El Khader
Sonia Ben Ammar
Alicia Vikander
Kim Tae-yeon
Sophie Turner
Nana Komatsu
Deepika Padukone
Natasha Wilona
Blanca Padilla
Satomi Ishihara
Margot Robbie
Lee Sung-Kyung
Jasmine Sanders
Urassaya Sperburd
Chloë Grace Moretz
Hande Erçel
Emilia Clarke
Dilraba Dilmurat
Priyanka Chopra
Ana De Armas
Kang Seul-gi
Gal Gadot
Sana Minatozaki
Taylor Hill
Lupita Nyong’o
Jennie Kim
Yael Shelbia
Oktyabrina Maximova
Lisa Manoban
Emma Watson
Audreyana Michelle
Bella Heathcote
Antonia Iacobescu
Camilla Belle
Golshifteh Farahani
Ju Jingyi
Adelaide Kane
Jourdan Dunn
Jin-ah
Sarah Gadon
Chou Tzu-yu
Thylane Blondeau
Liza Soberano
